K,distance_metric,Dataset scaling,Method name,sse,centroids,silhouette_score,davies_bouldin,calinski_harabasz,adjusted_rand_index,fowlkes_mallows_index,normalized_mutual_info,purity_score
8,euclidean,MinMax_PCA_0.85,K-Means++_PCA_0_85,3889.037176267112,,0.36919199680686127,1.0689292249427866,4250.329049984005,0.5080017728423665,0.5737489132194822,0.6456383688387443,0.6513828238719068
9,euclidean,MinMax_PCA_0.85,K-Means++_PCA_0_85,3563.5186310160702,,0.3709926295026721,1.032262058686217,4183.80195689887,0.5274061019385622,0.5869825938545429,0.6639130153532217,0.6889556040756915
10,euclidean,MinMax_PCA_0.85,K-Means++_PCA_0_85,3306.6479578814483,,0.3784419234022529,1.0388455120948223,4102.25922408825,0.5479793079764022,0.6029740209117489,0.6892162238475189,0.7285298398835517
11,euclidean,MinMax_PCA_0.85,K-Means++_PCA_0_85,3108.4899067125466,,0.3756584167324047,1.000397159477044,3997.034073103855,0.523116733528533,0.5784943294597047,0.6811128725241227,0.7321688500727802
12,euclidean,MinMax_PCA_0.85,K-Means++_PCA_0_85,2904.777195308381,,0.34656093101290925,1.0810390132378076,3958.145904172671,0.5826183731291565,0.6239978680931735,0.6984742795191122,0.8045851528384279
8,manhattan,MinMax_PCA_0.85,K-Means++_PCA_0_85,16226.287765901601,,0.35274878236032764,1.1070274886482834,4135.840392200475,0.5103730021877245,0.5761796373794825,0.6452677865559283,0.6581149927219796
9,manhattan,MinMax_PCA_0.85,K-Means++_PCA_0_85,14806.803882360146,,0.3641780799980746,1.0862821923465569,4095.0694206210624,0.538718510792817,0.5961085959835328,0.6675177487335571,0.6946870451237264
10,manhattan,MinMax_PCA_0.85,K-Means++_PCA_0_85,13735.810586636973,,0.37296921794331,1.0816366293593898,4019.0358692243017,0.5568904949713286,0.6101075219023191,0.690481163619901,0.7338973799126638
11,manhattan,MinMax_PCA_0.85,K-Means++_PCA_0_85,12878.15230044243,,0.3471603902566382,1.150902524753718,3917.3230528774443,0.6045193063872112,0.6447233018808237,0.6999792058083057,0.7984898107714702
12,manhattan,MinMax_PCA_0.85,K-Means++_PCA_0_85,12055.646736850806,,0.3516393550704222,1.1563363119386578,3866.1925763432896,0.6273407846022103,0.6637545366446288,0.7100211185419165,0.8093158660844251
8,cosine,MinMax_PCA_0.85,K-Means++_PCA_0_85,399.02797297186436,,0.5340086601301262,1.0822806811390002,4220.667158433156,0.5145924069083371,0.5785044004807331,0.6467586995602477,0.652292576419214
9,cosine,MinMax_PCA_0.85,K-Means++_PCA_0_85,345.25782262370797,,0.5425293416317089,1.1216760163179964,3953.709532328108,0.5404083771428545,0.5962581952393013,0.663200062887227,0.6694868995633187
10,cosine,MinMax_PCA_0.85,K-Means++_PCA_0_85,298.48848944356473,,0.5465691660543229,1.0749232104331132,3974.101503056171,0.5560719996370892,0.6071923075732073,0.6784791581497693,0.7060589519650655
11,cosine,MinMax_PCA_0.85,K-Means++_PCA_0_85,264.42457561185165,,0.5397100281986914,1.0739166417724832,3796.569974775675,0.5349106905207907,0.5861481050676132,0.6743690705962079,0.7111535662299855
12,cosine,MinMax_PCA_0.85,K-Means++_PCA_0_85,238.60822462234557,,0.5046291839674122,1.1336753375350295,3754.539324862743,0.5775517055671108,0.6185600205316768,0.679708636383328,0.7703784570596798
