K,distance_metric,Dataset scaling,Method name,sse,centroids,silhouette_score,davies_bouldin,calinski_harabasz,adjusted_rand_index,fowlkes_mallows_index,normalized_mutual_info,purity_score
8,euclidean,MinMax_PCA_0.99,K-Means++_PCA_0_99,5508.344237962914,,0.3246003708104841,1.221214106316209,3053.51553625345,0.4918310700589383,0.5651486564535375,0.6464404627033469,0.6340975254730713
9,euclidean,MinMax_PCA_0.99,K-Means++_PCA_0_99,5180.376629189609,,0.3122609663512116,1.3128222089957393,2927.6358841648726,0.50801212301935,0.5689888290355977,0.6568443532817302,0.6653930131004366
10,euclidean,MinMax_PCA_0.99,K-Means++_PCA_0_99,4817.091025353146,,0.32324551148586067,1.25552923083146,2890.37066997848,0.5322127442053188,0.5876201213510485,0.6819841773660075,0.7069687045123726
11,euclidean,MinMax_PCA_0.99,K-Means++_PCA_0_99,4554.969719986759,,0.29644864060145354,1.3217231883444258,2813.9715321791364,0.5940835203609433,0.6349093507639624,0.7026555471736878,0.7811135371179039
12,euclidean,MinMax_PCA_0.99,K-Means++_PCA_0_99,4319.782192089142,,0.3024086060991584,1.2681839110405726,2751.5326210650514,0.6013713515161592,0.6408322722321071,0.7159167206215179,0.8161390101892285
8,manhattan,MinMax_PCA_0.99,K-Means++_PCA_0_99,42884.19003552161,,0.28963400332304584,1.2354333208159918,3004.5645106416487,0.4995135187660827,0.5718951767380801,0.6550688977290736,0.6391011644832606
9,manhattan,MinMax_PCA_0.99,K-Means++_PCA_0_99,40255.47634192476,,0.2880008401501613,1.327043813114037,2886.714229579546,0.5531701423640801,0.6083116065223337,0.6796369720680416,0.7020560407569141
10,manhattan,MinMax_PCA_0.99,K-Means++_PCA_0_99,37843.312241524945,,0.29191397360376437,1.2897369838982005,2833.3344327403615,0.544769014938871,0.5982015523913781,0.6888303852860236,0.7172489082969432
11,manhattan,MinMax_PCA_0.99,K-Means++_PCA_0_99,35764.84425615333,,0.2775153822587482,1.3610022281007466,2749.411276796701,0.6014017141574014,0.6413841899433722,0.7051099077642143,0.7882096069868996
12,manhattan,MinMax_PCA_0.99,K-Means++_PCA_0_99,34089.683487757626,,0.2883520645661261,1.3661684936603145,2650.4244511543347,0.6571126000992197,0.6905838034145577,0.7310693132540448,0.8264192139737991
8,cosine,MinMax_PCA_0.99,K-Means++_PCA_0_99,586.203513646472,,0.46957374120031176,1.2902320557400415,3022.5674715471773,0.5247535045797002,0.5874390060031797,0.6551764766971546,0.6571142649199417
9,cosine,MinMax_PCA_0.99,K-Means++_PCA_0_99,524.9522676568016,,0.4759413283517336,1.2687823766038382,2936.0974210447484,0.5410189376604118,0.5979944953336451,0.669857059269679,0.6937772925764192
10,cosine,MinMax_PCA_0.99,K-Means++_PCA_0_99,476.9739575031095,,0.4580755529472797,1.3709741695311717,2750.479455813179,0.5408770337556464,0.5923329489936163,0.6738052281748763,0.6855895196506551
11,cosine,MinMax_PCA_0.99,K-Means++_PCA_0_99,422.74660251477815,,0.45974543448995353,1.3687592036405163,2699.4216422050463,0.6344551831457307,0.6705102516667046,0.7092839745411869,0.7848435225618632
12,cosine,MinMax_PCA_0.99,K-Means++_PCA_0_99,387.2705398807657,,0.44636610523641634,1.3435442925528018,2581.5616349423503,0.5972413218743363,0.63637647627229,0.6931717815130729,0.7797489082969432
