K,distance_metric,Dataset scaling,Method name,sse,centroids,silhouette_score,davies_bouldin,calinski_harabasz,adjusted_rand_index,fowlkes_mallows_index,normalized_mutual_info,purity_score
2,euclidean,Robust_PCA_0.8,K-Means++_PCA_0_8,4002.8846767145974,,0.17924491542401158,2.0736319871372366,319.49668746028607,0.033638298859269444,0.4403933740804823,0.03342588045603952,0.4270196877121521
3,euclidean,Robust_PCA_0.8,K-Means++_PCA_0_8,3385.8691557149386,,0.1866229348074805,1.7684646976666196,322.6722143714543,0.030698509878362385,0.3710279232101966,0.0367169074609568,0.43856076035302105
4,euclidean,Robust_PCA_0.8,K-Means++_PCA_0_8,3105.5518245844232,,0.16695484393768095,1.9239087565827269,278.57116033131626,0.021445825365222743,0.3164446162076166,0.030859151637903058,0.4439918533604888
5,euclidean,Robust_PCA_0.8,K-Means++_PCA_0_8,2898.5788689160713,,0.17670015145374773,1.8255378806006246,249.90014146232306,0.012323866221710913,0.28329431484904694,0.029689422045003768,0.4426340801086219
6,euclidean,Robust_PCA_0.8,K-Means++_PCA_0_8,2739.6588794897734,,0.15284973919809453,1.8572672517315543,228.39215534149156,0.016906447398718105,0.25891326898599865,0.030992594981863807,0.45417515274949083
7,euclidean,Robust_PCA_0.8,K-Means++_PCA_0_8,2597.945854173771,,0.1526253475072438,1.763632562975978,213.8998670573257,0.017530023623701582,0.24221100940589352,0.032949203054030506,0.4575695858791582
8,euclidean,Robust_PCA_0.8,K-Means++_PCA_0_8,2506.8086536405963,,0.16080549799987762,1.8265139927876026,197.4874808957308,0.014100309039579552,0.22991109156589815,0.024694331105058434,0.45010183299389
2,manhattan,Robust_PCA_0.8,K-Means++_PCA_0_8,23423.477960601806,,0.16613059501349656,2.1162033884460785,308.47176472529605,0.03461468770188302,0.4407825948628114,0.0363615765727175,0.4270196877121521
3,manhattan,Robust_PCA_0.8,K-Means++_PCA_0_8,20459.924876820638,,0.18404545616244097,2.369294444334835,230.54064174983085,0.0327474765528367,0.36912521914450797,0.034254893702222455,0.44331296673455534
4,manhattan,Robust_PCA_0.8,K-Means++_PCA_0_8,18533.4305554827,,0.16828754723489703,1.99654720712608,267.1064006250735,0.022942073142217533,0.31762106056384004,0.03446470709469067,0.451459606245757
5,manhattan,Robust_PCA_0.8,K-Means++_PCA_0_8,16815.74929334547,,0.16719576906428874,1.9742305888018685,231.1308594010328,0.017733074768072624,0.2816527958752491,0.03085396182727441,0.44942294636795654
6,manhattan,Robust_PCA_0.8,K-Means++_PCA_0_8,15806.429522959095,,0.18887555813295745,1.8775944427918196,217.54777969362758,0.018790902328057923,0.25970687750702964,0.03079238679626029,0.44738628649015616
7,manhattan,Robust_PCA_0.8,K-Means++_PCA_0_8,14868.1093794123,,0.20013941611659622,1.8033337594945718,198.18496664044204,0.019883756970921956,0.24907322503389895,0.030521277001490387,0.4460285132382892
8,manhattan,Robust_PCA_0.8,K-Means++_PCA_0_8,14144.42210626282,,0.20202516268739948,1.8022741416265435,188.50057214693314,0.015174939207493039,0.2314692921271927,0.030988671500538956,0.4487440597420231
2,cosine,Robust_PCA_0.8,K-Means++_PCA_0_8,552.4960000618598,,0.3056490147216349,2.079049590977582,319.33682408087947,0.03268582248159976,0.4396762966788514,0.033750340643335625,0.4270196877121521
3,cosine,Robust_PCA_0.8,K-Means++_PCA_0_8,371.5052165194745,,0.29965682161405394,1.799185634103419,319.23633021704836,0.02840325797594664,0.3647369302982147,0.03650001957140107,0.4426340801086219
4,cosine,Robust_PCA_0.8,K-Means++_PCA_0_8,288.23325199370913,,0.3029358041759501,1.8160882005782988,274.9077641578847,0.01995950553054296,0.31578324994741647,0.027479686224818785,0.439918533604888
5,cosine,Robust_PCA_0.8,K-Means++_PCA_0_8,237.87213908416402,,0.3003705858794079,1.8049895343413276,247.8678352591916,0.011937694548944083,0.28246737425724383,0.027125596200630094,0.44331296673455534
6,cosine,Robust_PCA_0.8,K-Means++_PCA_0_8,207.0638542772922,,0.29324386026150956,1.7954705219324738,228.5702813052466,0.01448636648549041,0.2587737429419044,0.027207749079949915,0.4487440597420231
7,cosine,Robust_PCA_0.8,K-Means++_PCA_0_8,186.13030600458,,0.2671086789956672,1.7930108914541074,209.52700207802425,0.017671573412231762,0.2439407473461053,0.0322233414944461,0.4575695858791582
8,cosine,Robust_PCA_0.8,K-Means++_PCA_0_8,167.140542264854,,0.29924193973211954,1.7862363081510746,195.42620203000752,0.01060857864299904,0.22711010903237255,0.027376802647786354,0.44738628649015616
