Dataset,min_samples,metric,algorithm,max_epsilon,Dataset scaling,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Adjusted Rand Index,Purity,Fowlkes-Mallows Index,Normalized Mutual Info,Number of Clusters
pen-based,15,euclidean,auto,1.0,MinMax,0.6900840483022953,0.3353354640514634,763.9105918544794,0.9770347364170334,0.9962962962962963,0.9905785700424607,0.9250303029958484,9
pen-based,15,euclidean,brute,1.0,MinMax,0.6886064484587499,0.3449778473945516,746.0429584577381,0.9764477386165417,0.9963636363636363,0.9898542690932413,0.9169282177247088,10
pen-based,15,manhattan,auto,1.0,MinMax,0.8751317504644004,0.17885603039893455,2296.573642343404,0.6211284554182378,0.9425287356321839,0.7307256137638143,0.7864692275282447,5
pen-based,15,manhattan,brute,1.0,MinMax,0.8751317504644004,0.17885603039893455,2296.573642343404,0.6211284554182378,0.9425287356321839,0.7307256137638143,0.7864692275282447,5
pen-based,15,cosine,auto,1.0,MinMax,0.5950018355653476,0.5737182542100664,892.1499912031929,0.8112836877080003,0.9778571428571429,0.8587910618484235,0.769599152196595,39
pen-based,15,cosine,brute,1.0,MinMax,0.5950018355653476,0.5737182542100664,892.1499912031929,0.8112836877080003,0.9778571428571429,0.8587910618484235,0.769599152196595,39
pen-based,15,euclidean,auto,3.0,MinMax,0.6900840483022953,0.3353354640514634,763.9105918544794,0.9770347364170334,0.9962962962962963,0.9905785700424607,0.9250303029958484,9
pen-based,15,euclidean,brute,3.0,MinMax,0.6886064484587499,0.3449778473945516,746.0429584577381,0.9764477386165417,0.9963636363636363,0.9898542690932413,0.9169282177247088,10
pen-based,15,manhattan,auto,3.0,MinMax,0.8751317504644004,0.17885603039893455,2296.573642343404,0.6211284554182378,0.9425287356321839,0.7307256137638143,0.7864692275282447,5
pen-based,15,manhattan,brute,3.0,MinMax,0.8751317504644004,0.17885603039893455,2296.573642343404,0.6211284554182378,0.9425287356321839,0.7307256137638143,0.7864692275282447,5
pen-based,15,cosine,auto,3.0,MinMax,0.5950018355653476,0.5737182542100664,892.1499912031929,0.8112836877080003,0.9778571428571429,0.8587910618484235,0.769599152196595,39
pen-based,15,cosine,brute,3.0,MinMax,0.5950018355653476,0.5737182542100664,892.1499912031929,0.8112836877080003,0.9778571428571429,0.8587910618484235,0.769599152196595,39
pen-based,15,euclidean,auto,5.0,MinMax,0.6900840483022953,0.3353354640514634,763.9105918544794,0.9770347364170334,0.9962962962962963,0.9905785700424607,0.9250303029958484,9
pen-based,15,euclidean,brute,5.0,MinMax,0.6886064484587499,0.3449778473945516,746.0429584577381,0.9764477386165417,0.9963636363636363,0.9898542690932413,0.9169282177247088,10
pen-based,15,manhattan,auto,5.0,MinMax,0.8751317504644004,0.17885603039893455,2296.573642343404,0.6211284554182378,0.9425287356321839,0.7307256137638143,0.7864692275282447,5
pen-based,15,manhattan,brute,5.0,MinMax,0.8751317504644004,0.17885603039893455,2296.573642343404,0.6211284554182378,0.9425287356321839,0.7307256137638143,0.7864692275282447,5
pen-based,15,cosine,auto,5.0,MinMax,0.5950018355653476,0.5737182542100664,892.1499912031929,0.8112836877080003,0.9778571428571429,0.8587910618484235,0.769599152196595,39
pen-based,15,cosine,brute,5.0,MinMax,0.5950018355653476,0.5737182542100664,892.1499912031929,0.8112836877080003,0.9778571428571429,0.8587910618484235,0.769599152196595,39
pen-based,15,euclidean,auto,7.0,MinMax,0.6900840483022953,0.3353354640514634,763.9105918544794,0.9770347364170334,0.9962962962962963,0.9905785700424607,0.9250303029958484,9
pen-based,15,euclidean,brute,7.0,MinMax,0.6886064484587499,0.3449778473945516,746.0429584577381,0.9764477386165417,0.9963636363636363,0.9898542690932413,0.9169282177247088,10
pen-based,15,manhattan,auto,7.0,MinMax,0.8751317504644004,0.17885603039893455,2296.573642343404,0.6211284554182378,0.9425287356321839,0.7307256137638143,0.7864692275282447,5
pen-based,15,manhattan,brute,7.0,MinMax,0.8751317504644004,0.17885603039893455,2296.573642343404,0.6211284554182378,0.9425287356321839,0.7307256137638143,0.7864692275282447,5
pen-based,15,cosine,auto,7.0,MinMax,0.5950018355653476,0.5737182542100664,892.1499912031929,0.8112836877080003,0.9778571428571429,0.8587910618484235,0.769599152196595,39
pen-based,15,cosine,brute,7.0,MinMax,0.5950018355653476,0.5737182542100664,892.1499912031929,0.8112836877080003,0.9778571428571429,0.8587910618484235,0.769599152196595,39
pen-based,15,euclidean,auto,9.0,MinMax,0.6900840483022953,0.3353354640514634,763.9105918544794,0.9770347364170334,0.9962962962962963,0.9905785700424607,0.9250303029958484,9
pen-based,15,euclidean,brute,9.0,MinMax,0.6886064484587499,0.3449778473945516,746.0429584577381,0.9764477386165417,0.9963636363636363,0.9898542690932413,0.9169282177247088,10
pen-based,15,manhattan,auto,9.0,MinMax,0.8751317504644004,0.17885603039893455,2296.573642343404,0.6211284554182378,0.9425287356321839,0.7307256137638143,0.7864692275282447,5
pen-based,15,manhattan,brute,9.0,MinMax,0.8751317504644004,0.17885603039893455,2296.573642343404,0.6211284554182378,0.9425287356321839,0.7307256137638143,0.7864692275282447,5
pen-based,15,cosine,auto,9.0,MinMax,0.5950018355653476,0.5737182542100664,892.1499912031929,0.8112836877080003,0.9778571428571429,0.8587910618484235,0.769599152196595,39
pen-based,15,cosine,brute,9.0,MinMax,0.5950018355653476,0.5737182542100664,892.1499912031929,0.8112836877080003,0.9778571428571429,0.8587910618484235,0.769599152196595,39
pen-based,20,euclidean,auto,1.0,MinMax,0.8442216243863051,0.22041074376676634,1072.9242231156632,0.9645064893674089,0.9895833333333334,0.9875269010181474,0.9499795863319974,2
pen-based,20,euclidean,brute,1.0,MinMax,0.8442216243863051,0.22041074376676634,1072.9242231156632,0.9645064893674089,0.9895833333333334,0.9875269010181474,0.9499795863319974,2
pen-based,20,manhattan,auto,1.0,MinMax,0.7921916253704495,0.2469925099317303,2374.8918446118814,0.9277243737971204,0.9871060171919771,0.9858700687271051,0.9021657813163889,2
pen-based,20,manhattan,brute,1.0,MinMax,0.7921916253704495,0.2469925099317303,2374.8918446118814,0.9277243737971204,0.9871060171919771,0.9858700687271051,0.9021657813163889,2
pen-based,20,cosine,auto,1.0,MinMax,0.6431379748797833,0.5334875344899044,1603.9384078377384,0.5629512184143353,0.9639769452449568,0.6441915371669841,0.7972563957224429,20
pen-based,20,cosine,brute,1.0,MinMax,0.6431379748797833,0.5334875344899044,1603.9384078377384,0.5629512184143353,0.9639769452449568,0.6441915371669841,0.7972563957224429,20
pen-based,20,euclidean,auto,3.0,MinMax,0.8442216243863051,0.22041074376676634,1072.9242231156632,0.9645064893674089,0.9895833333333334,0.9875269010181474,0.9499795863319974,2
pen-based,20,euclidean,brute,3.0,MinMax,0.8442216243863051,0.22041074376676634,1072.9242231156632,0.9645064893674089,0.9895833333333334,0.9875269010181474,0.9499795863319974,2
pen-based,20,manhattan,auto,3.0,MinMax,0.7921916253704495,0.2469925099317303,2374.8918446118814,0.9277243737971204,0.9871060171919771,0.9858700687271051,0.9021657813163889,2
pen-based,20,manhattan,brute,3.0,MinMax,0.7921916253704495,0.2469925099317303,2374.8918446118814,0.9277243737971204,0.9871060171919771,0.9858700687271051,0.9021657813163889,2
pen-based,20,cosine,auto,3.0,MinMax,0.6431379748797833,0.5334875344899044,1603.9384078377384,0.5629512184143353,0.9639769452449568,0.6441915371669841,0.7972563957224429,20
pen-based,20,cosine,brute,3.0,MinMax,0.6431379748797833,0.5334875344899044,1603.9384078377384,0.5629512184143353,0.9639769452449568,0.6441915371669841,0.7972563957224429,20
