Dataset,min_samples,metric,algorithm,max_epsilon,Dataset scaling,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Adjusted Rand Index,Purity,Fowlkes-Mallows Index,Normalized Mutual Info,Number of Clusters
cmc,25,euclidean,auto,1.5,Robust,0.37885144149690075,1.0908058675399706,107.6625200378278,-0.00033298665918084675,0.4221556886227545,0.31984252977536415,0.014242438929906997,5
cmc,25,euclidean,brute,1.5,Robust,0.37885144149690075,1.0908058675399706,107.6625200378278,-0.00033298665918084675,0.4221556886227545,0.31984252977536415,0.014242438929906997,5
cmc,25,manhattan,auto,1.5,Robust,0.40535583230288325,1.1412162363918894,85.57864904563075,-0.002107586920805706,0.4166666666666667,0.41198859547602584,0.004715320983716545,2
cmc,25,manhattan,brute,1.5,Robust,0.40535583230288325,1.1412162363918894,85.57864904563075,-0.002107586920805706,0.4166666666666667,0.41198859547602584,0.004715320983716545,2
cmc,25,cosine,auto,1.5,Robust,0.4180839635417766,0.9973426539043336,172.33996085804762,0.019079966176548686,0.47041420118343197,0.21854526853485495,0.05315621410716005,9
cmc,25,cosine,brute,1.5,Robust,0.4180839635417766,0.9973426539043336,172.33996085804762,0.019079966176548686,0.47041420118343197,0.21854526853485495,0.05315621410716005,9
cmc,25,euclidean,auto,3.0,Robust,0.37885144149690075,1.0908058675399706,107.6625200378278,-0.00033298665918084675,0.4221556886227545,0.31984252977536415,0.014242438929906997,5
cmc,25,euclidean,brute,3.0,Robust,0.37885144149690075,1.0908058675399706,107.6625200378278,-0.00033298665918084675,0.4221556886227545,0.31984252977536415,0.014242438929906997,5
cmc,25,manhattan,auto,3.0,Robust,0.4107305358169609,0.9411700717180471,136.57467546509386,0.0044608904547529474,0.42857142857142855,0.2652094415489792,0.01929639997829375,6
cmc,25,manhattan,brute,3.0,Robust,0.4107305358169609,0.9411700717180471,136.57467546509386,0.0044608904547529474,0.42857142857142855,0.2652094415489792,0.01929639997829375,6
cmc,25,cosine,auto,3.0,Robust,0.4180839635417766,0.9973426539043336,172.33996085804762,0.019079966176548686,0.47041420118343197,0.21854526853485495,0.05315621410716005,9
cmc,25,cosine,brute,3.0,Robust,0.4180839635417766,0.9973426539043336,172.33996085804762,0.019079966176548686,0.47041420118343197,0.21854526853485495,0.05315621410716005,9
cmc,25,euclidean,auto,5.0,Robust,0.37885144149690075,1.0908058675399706,107.6625200378278,-0.00033298665918084675,0.4221556886227545,0.31984252977536415,0.014242438929906997,5
cmc,25,euclidean,brute,5.0,Robust,0.37885144149690075,1.0908058675399706,107.6625200378278,-0.00033298665918084675,0.4221556886227545,0.31984252977536415,0.014242438929906997,5
cmc,25,manhattan,auto,5.0,Robust,0.4107305358169609,0.9411700717180471,136.5746754650939,0.0044608904547529474,0.42857142857142855,0.2652094415489792,0.019296399978293754,6
cmc,25,manhattan,brute,5.0,Robust,0.4107305358169609,0.9411700717180471,136.5746754650939,0.0044608904547529474,0.42857142857142855,0.2652094415489792,0.019296399978293754,6
cmc,25,cosine,auto,5.0,Robust,0.4180839635417766,0.9973426539043336,172.33996085804762,0.019079966176548686,0.47041420118343197,0.21854526853485495,0.05315621410716005,9
cmc,25,cosine,brute,5.0,Robust,0.4180839635417766,0.9973426539043336,172.33996085804762,0.019079966176548686,0.47041420118343197,0.21854526853485495,0.05315621410716005,9
cmc,25,euclidean,auto,7.0,Robust,0.37885144149690075,1.0908058675399706,107.6625200378278,-0.00033298665918084675,0.4221556886227545,0.31984252977536415,0.014242438929906997,5
cmc,25,euclidean,brute,7.0,Robust,0.37885144149690075,1.0908058675399706,107.6625200378278,-0.00033298665918084675,0.4221556886227545,0.31984252977536415,0.014242438929906997,5
cmc,25,manhattan,auto,7.0,Robust,0.4107305358169609,0.9411700717180471,136.5746754650939,0.0044608904547529474,0.42857142857142855,0.2652094415489792,0.019296399978293754,6
