Dataset,min_samples,metric,algorithm,max_epsilon,Dataset scaling,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Adjusted Rand Index,Purity,Fowlkes-Mallows Index,Normalized Mutual Info,Number of Clusters
pen-based,15,euclidean,auto,1.0,MinMax,0.7066414074168847,0.4420836491912792,619.5211828047977,0.7984908042135446,0.9949494949494949,0.8449634484619011,0.9017421761626929,8
pen-based,15,euclidean,brute,1.0,MinMax,0.7170418544067511,0.43418518009666174,580.0583833646486,0.7214546841046946,0.9942196531791907,0.7863367871397742,0.890189574129243,8
pen-based,15,manhattan,auto,1.0,MinMax,0.6599838370342639,0.48404326727020336,494.6440398108234,0.6185777535546334,1.0,0.726465761254304,0.8009766012838421,10
pen-based,15,manhattan,brute,1.0,MinMax,0.6599838370342639,0.48404326727020336,494.6440398108234,0.6185777535546334,1.0,0.726465761254304,0.8009766012838421,10
pen-based,15,cosine,auto,1.0,MinMax,0.5910700172052924,0.5944398549978152,1018.831230694711,0.3445080526290842,0.968019680196802,0.472085043573824,0.7224273784186962,34
pen-based,15,cosine,brute,1.0,MinMax,0.5910700172052924,0.5944398549978152,1018.831230694711,0.3445080526290842,0.968019680196802,0.472085043573824,0.7224273784186962,34
pen-based,15,euclidean,auto,3.0,MinMax,0.7066414074168847,0.4420836491912792,619.5211828047977,0.7984908042135446,0.9949494949494949,0.8449634484619011,0.9017421761626929,8
pen-based,15,euclidean,brute,3.0,MinMax,0.7170418544067511,0.43418518009666174,580.0583833646486,0.7214546841046946,0.9942196531791907,0.7863367871397742,0.890189574129243,8
pen-based,15,manhattan,auto,3.0,MinMax,0.6599838370342639,0.48404326727020336,494.6440398108234,0.6185777535546334,1.0,0.726465761254304,0.8009766012838421,10
pen-based,15,manhattan,brute,3.0,MinMax,0.6599838370342639,0.48404326727020336,494.6440398108234,0.6185777535546334,1.0,0.726465761254304,0.8009766012838421,10
pen-based,15,cosine,auto,3.0,MinMax,0.5910700172052924,0.5944398549978152,1018.831230694711,0.3445080526290842,0.968019680196802,0.472085043573824,0.7224273784186962,34
pen-based,15,cosine,brute,3.0,MinMax,0.5910700172052924,0.5944398549978152,1018.831230694711,0.3445080526290842,0.968019680196802,0.472085043573824,0.7224273784186962,34
pen-based,15,euclidean,auto,5.0,MinMax,0.7066414074168847,0.4420836491912792,619.5211828047977,0.7984908042135446,0.9949494949494949,0.8449634484619011,0.9017421761626929,8
