Dataset,min_samples,metric,algorithm,max_epsilon,Dataset scaling,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Adjusted Rand Index,Purity,Fowlkes-Mallows Index,Normalized Mutual Info,Number of Clusters
pen-based,15,euclidean,auto,1.0,MinMax,0.6247086578744201,0.5339442407751972,311.07616252086507,0.6257071224347055,0.9964664310954063,0.716438963723989,0.8473449697465689,11
pen-based,15,euclidean,brute,1.0,MinMax,0.6246869694796806,0.5339272805294533,311.13902225215367,0.6257071224347055,0.9964664310954063,0.716438963723989,0.8473449697465689,11
pen-based,15,manhattan,auto,1.0,MinMax,0.46923792113490004,0.5878729396723764,182.92282491897225,0.8156678511418705,0.9415204678362573,0.9002724733622647,0.8330166514540535,9
pen-based,15,manhattan,brute,1.0,MinMax,0.46923792113490004,0.5878729396723764,182.92282491897225,0.8156678511418705,0.9415204678362573,0.9002724733622647,0.8330166514540535,9
pen-based,15,cosine,auto,1.0,MinMax,0.5569472988978931,0.6497034508662412,563.9899160055533,0.2674541588556591,0.9956989247311828,0.41965309691462,0.7114498736511369,40
pen-based,15,cosine,brute,1.0,MinMax,0.5569472988978931,0.6497034508662412,563.9899160055533,0.2674541588556591,0.9956989247311828,0.41965309691462,0.7114498736511369,40
pen-based,15,euclidean,auto,3.0,MinMax,0.6247086578744201,0.5339442407751972,311.07616252086507,0.6257071224347055,0.9964664310954063,0.716438963723989,0.8473449697465689,11
pen-based,15,euclidean,brute,3.0,MinMax,0.6246869694796806,0.5339272805294533,311.13902225215367,0.6257071224347055,0.9964664310954063,0.716438963723989,0.8473449697465689,11
pen-based,15,manhattan,auto,3.0,MinMax,0.6780175807201851,0.4907410207347131,291.3414878008581,0.7286413448136321,1.0,0.7958882964954487,0.8950998641942305,8
pen-based,15,manhattan,brute,3.0,MinMax,0.6780175807201851,0.4907410207347131,291.3414878008581,0.7286413448136321,1.0,0.7958882964954487,0.8950998641942305,8
pen-based,15,cosine,auto,3.0,MinMax,0.5569472988978931,0.6497034508662412,563.9899160055533,0.2674541588556591,0.9956989247311828,0.41965309691462,0.7114498736511369,40
pen-based,15,cosine,brute,3.0,MinMax,0.5569472988978931,0.6497034508662412,563.9899160055533,0.2674541588556591,0.9956989247311828,0.41965309691462,0.7114498736511369,40
pen-based,15,euclidean,auto,5.0,MinMax,0.6247086578744201,0.5339442407751972,311.07616252086507,0.6257071224347055,0.9964664310954063,0.716438963723989,0.8473449697465689,11
pen-based,15,euclidean,brute,5.0,MinMax,0.6246869694796806,0.5339272805294533,311.13902225215367,0.6257071224347055,0.9964664310954063,0.716438963723989,0.8473449697465689,11
pen-based,15,manhattan,auto,5.0,MinMax,0.6780175807201851,0.4907410207347131,291.3414878008581,0.7286413448136321,1.0,0.7958882964954487,0.8950998641942305,8
pen-based,15,manhattan,brute,5.0,MinMax,0.6780175807201851,0.4907410207347131,291.3414878008581,0.7286413448136321,1.0,0.7958882964954487,0.8950998641942305,8
pen-based,15,cosine,auto,5.0,MinMax,0.5569472988978931,0.6497034508662412,563.9899160055533,0.2674541588556591,0.9956989247311828,0.41965309691462,0.7114498736511369,40
pen-based,15,cosine,brute,5.0,MinMax,0.5569472988978931,0.6497034508662412,563.9899160055533,0.2674541588556591,0.9956989247311828,0.41965309691462,0.7114498736511369,40
pen-based,15,euclidean,auto,7.0,MinMax,0.6247086578744201,0.5339442407751972,311.07616252086507,0.6257071224347055,0.9964664310954063,0.716438963723989,0.8473449697465689,11
pen-based,15,euclidean,brute,7.0,MinMax,0.6246869694796806,0.5339272805294533,311.13902225215367,0.6257071224347055,0.9964664310954063,0.716438963723989,0.8473449697465689,11
pen-based,15,manhattan,auto,7.0,MinMax,0.6780175807201851,0.4907410207347131,291.3414878008581,0.7286413448136321,1.0,0.7958882964954487,0.8950998641942305,8
pen-based,15,manhattan,brute,7.0,MinMax,0.6780175807201851,0.4907410207347131,291.3414878008581,0.7286413448136321,1.0,0.7958882964954487,0.8950998641942305,8
pen-based,15,cosine,auto,7.0,MinMax,0.5569472988978931,0.6497034508662412,563.9899160055533,0.2674541588556591,0.9956989247311828,0.41965309691462,0.7114498736511369,40
pen-based,15,cosine,brute,7.0,MinMax,0.5569472988978931,0.6497034508662412,563.9899160055533,0.2674541588556591,0.9956989247311828,0.41965309691462,0.7114498736511369,40
pen-based,15,euclidean,auto,9.0,MinMax,0.6247086578744201,0.5339442407751972,311.07616252086507,0.6257071224347055,0.9964664310954063,0.716438963723989,0.8473449697465689,11
