Dataset,min_samples,metric,algorithm,max_epsilon,Dataset scaling,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Adjusted Rand Index,Purity,Fowlkes-Mallows Index,Normalized Mutual Info,Number of Clusters
cmc,35,euclidean,brute,1.5,MinMax,0.5408787214733884,0.805759741012449,277.525144943057,0.0002688260989145778,0.39445628997867804,0.235813357772242,0.007320633004866078,7
cmc,35,manhattan,auto,1.5,MinMax,0.5319438263573492,0.7932981712805478,230.68215650141929,0.0014591031831271656,0.4025,0.22524018499381057,0.011459199427883449,7
cmc,35,manhattan,brute,1.5,MinMax,0.5319438263573492,0.7932981712805478,230.68215650141929,0.0014591031831271656,0.4025,0.22524018499381057,0.011459199427883449,7
cmc,35,cosine,auto,1.5,MinMax,0.5411142729900134,0.7649608514731544,220.23470217856192,0.0009883493852086461,0.4010840108401084,0.22869254855347643,0.012787196073183568,7
cmc,35,cosine,brute,1.5,MinMax,0.5411142729900134,0.7649608514731544,220.23470217856192,0.0009883493852086461,0.4010840108401084,0.22869254855347643,0.012787196073183568,7
cmc,35,euclidean,auto,3.0,MinMax,0.5408787214733884,0.805759741012449,277.525144943057,0.0002688260989145778,0.39445628997867804,0.235813357772242,0.007320633004866078,7
cmc,35,euclidean,brute,3.0,MinMax,0.5408787214733884,0.805759741012449,277.525144943057,0.0002688260989145778,0.39445628997867804,0.235813357772242,0.007320633004866078,7
cmc,35,manhattan,auto,3.0,MinMax,0.47183672162840196,0.9836502275621843,173.07040622953087,0.003435401957236723,0.40375586854460094,0.22799147372016754,0.013540564810537293,7
cmc,35,manhattan,brute,3.0,MinMax,0.47183672162840196,0.9836502275621843,173.07040622953087,0.003435401957236723,0.40375586854460094,0.22799147372016754,0.013540564810537293,7
cmc,35,cosine,auto,3.0,MinMax,0.5411142729900134,0.7649608514731544,220.23470217856192,0.0009883493852086461,0.4010840108401084,0.22869254855347643,0.012787196073183568,7
cmc,35,cosine,brute,3.0,MinMax,0.5411142729900134,0.7649608514731544,220.23470217856192,0.0009883493852086461,0.4010840108401084,0.22869254855347643,0.012787196073183568,7
cmc,35,euclidean,auto,5.0,MinMax,0.5408787214733884,0.805759741012449,277.525144943057,0.0002688260989145778,0.39445628997867804,0.235813357772242,0.007320633004866078,7
cmc,35,euclidean,brute,5.0,MinMax,0.5408787214733884,0.805759741012449,277.525144943057,0.0002688260989145778,0.39445628997867804,0.235813357772242,0.007320633004866078,7
cmc,35,manhattan,auto,5.0,MinMax,0.47183672162840196,0.9836502275621843,173.07040622953087,0.003435401957236723,0.40375586854460094,0.22799147372016754,0.013540564810537293,7
cmc,35,manhattan,brute,5.0,MinMax,0.47183672162840196,0.9836502275621843,173.07040622953087,0.003435401957236723,0.40375586854460094,0.22799147372016754,0.013540564810537293,7
cmc,35,cosine,auto,5.0,MinMax,0.5411142729900134,0.7649608514731544,220.23470217856192,0.0009883493852086461,0.4010840108401084,0.22869254855347643,0.012787196073183568,7
cmc,35,cosine,brute,5.0,MinMax,0.5411142729900134,0.7649608514731544,220.23470217856192,0.0009883493852086461,0.4010840108401084,0.22869254855347643,0.012787196073183568,7
cmc,35,euclidean,auto,7.0,MinMax,0.5408787214733884,0.805759741012449,277.525144943057,0.0002688260989145778,0.39445628997867804,0.235813357772242,0.007320633004866078,7
cmc,35,euclidean,brute,7.0,MinMax,0.5408787214733884,0.805759741012449,277.525144943057,0.0002688260989145778,0.39445628997867804,0.235813357772242,0.007320633004866078,7
cmc,35,manhattan,auto,7.0,MinMax,0.47183672162840196,0.9836502275621843,173.07040622953087,0.003435401957236723,0.40375586854460094,0.22799147372016754,0.013540564810537293,7
cmc,35,manhattan,brute,7.0,MinMax,0.47183672162840196,0.9836502275621843,173.07040622953087,0.003435401957236723,0.40375586854460094,0.22799147372016754,0.013540564810537293,7
cmc,35,cosine,auto,7.0,MinMax,0.5411142729900134,0.7649608514731544,220.23470217856192,0.0009883493852086461,0.4010840108401084,0.22869254855347643,0.012787196073183568,7
cmc,35,cosine,brute,7.0,MinMax,0.5411142729900134,0.7649608514731544,220.23470217856192,0.0009883493852086461,0.4010840108401084,0.22869254855347643,0.012787196073183568,7
cmc,35,euclidean,auto,9.0,MinMax,0.5408787214733884,0.805759741012449,277.525144943057,0.0002688260989145778,0.39445628997867804,0.235813357772242,0.007320633004866078,7
cmc,35,euclidean,brute,9.0,MinMax,0.5408787214733884,0.805759741012449,277.525144943057,0.0002688260989145778,0.39445628997867804,0.235813357772242,0.007320633004866078,7
cmc,35,manhattan,auto,9.0,MinMax,0.47183672162840196,0.9836502275621843,173.07040622953087,0.003435401957236723,0.40375586854460094,0.22799147372016754,0.013540564810537293,7
cmc,35,manhattan,brute,9.0,MinMax,0.47183672162840196,0.9836502275621843,173.07040622953087,0.003435401957236723,0.40375586854460094,0.22799147372016754,0.013540564810537293,7
cmc,35,cosine,auto,9.0,MinMax,0.5411142729900134,0.7649608514731544,220.23470217856192,0.0009883493852086461,0.4010840108401084,0.22869254855347643,0.012787196073183568,7
cmc,35,cosine,brute,9.0,MinMax,0.5411142729900134,0.7649608514731544,220.23470217856192,0.0009883493852086461,0.4010840108401084,0.22869254855347643,0.012787196073183568,7
cmc,45,euclidean,auto,1.5,MinMax,0.5391404362071568,0.8188657351652042,268.5090234748992,-8.993021715333214e-05,0.38402061855670105,0.27302763852078377,0.006490739451895587,5
cmc,45,euclidean,brute,1.5,MinMax,0.5391404362071568,0.8188657351652042,268.5090234748992,-8.993021715333214e-05,0.38402061855670105,0.27302763852078377,0.006490739451895587,5
cmc,45,manhattan,auto,1.5,MinMax,0.578227758611587,0.6362828450380793,349.17488070291654,-9.502779809021965e-06,0.39209726443769,0.30583843671763317,0.007039584559728427,4
cmc,45,manhattan,brute,1.5,MinMax,0.578227758611587,0.6362828450380793,349.17488070291654,-9.502779809021965e-06,0.39209726443769,0.30583843671763317,0.007039584559728427,4
cmc,45,cosine,auto,1.5,MinMax,0.5879596079081103,0.6171955867469566,361.0504529045318,-8.665475779788144e-05,0.3950617283950617,0.3077260806556749,0.007790494929184468,4
cmc,45,cosine,brute,1.5,MinMax,0.5879596079081103,0.6171955867469566,361.0504529045318,-8.665475779788144e-05,0.3950617283950617,0.3077260806556749,0.007790494929184468,4
cmc,45,euclidean,auto,3.0,MinMax,0.5391404362071568,0.8188657351652042,268.5090234748992,-8.993021715333214e-05,0.38402061855670105,0.27302763852078377,0.006490739451895587,5
cmc,45,euclidean,brute,3.0,MinMax,0.5391404362071568,0.8188657351652042,268.5090234748992,-8.993021715333214e-05,0.38402061855670105,0.27302763852078377,0.006490739451895587,5
cmc,45,manhattan,auto,3.0,MinMax,0.5391404362071568,0.8188657351652042,268.5090234748992,-8.993021715333214e-05,0.38402061855670105,0.27302763852078377,0.006490739451895587,5
cmc,45,manhattan,brute,3.0,MinMax,0.5391404362071568,0.8188657351652042,268.5090234748992,-8.993021715333214e-05,0.38402061855670105,0.27302763852078377,0.006490739451895587,5
cmc,45,cosine,auto,3.0,MinMax,0.5879596079081103,0.6171955867469566,361.0504529045318,-8.665475779788144e-05,0.3950617283950617,0.3077260806556749,0.007790494929184468,4
cmc,45,cosine,brute,3.0,MinMax,0.5879596079081103,0.6171955867469566,361.0504529045318,-8.665475779788144e-05,0.3950617283950617,0.3077260806556749,0.007790494929184468,4
cmc,45,euclidean,auto,5.0,MinMax,0.5391404362071568,0.8188657351652042,268.5090234748992,-8.993021715333214e-05,0.38402061855670105,0.27302763852078377,0.006490739451895587,5
cmc,45,euclidean,brute,5.0,MinMax,0.5391404362071568,0.8188657351652042,268.5090234748992,-8.993021715333214e-05,0.38402061855670105,0.27302763852078377,0.006490739451895587,5
cmc,45,manhattan,auto,5.0,MinMax,0.5391404362071568,0.8188657351652042,268.5090234748992,-8.993021715333214e-05,0.38402061855670105,0.27302763852078377,0.006490739451895587,5
cmc,45,manhattan,brute,5.0,MinMax,0.5391404362071568,0.8188657351652042,268.5090234748992,-8.993021715333214e-05,0.38402061855670105,0.27302763852078377,0.006490739451895587,5
cmc,45,cosine,auto,5.0,MinMax,0.5879596079081103,0.6171955867469566,361.0504529045318,-8.665475779788144e-05,0.3950617283950617,0.3077260806556749,0.007790494929184468,4
cmc,45,cosine,brute,5.0,MinMax,0.5879596079081103,0.6171955867469566,361.0504529045318,-8.665475779788144e-05,0.3950617283950617,0.3077260806556749,0.007790494929184468,4
